Word,Frequency,Probability
,11,0.0008195499925495455
1,14,0.0010430636268812397
100,3,0.00022351363433169424
12,3,0.00022351363433169424
1500,1,7.450454477723141e-05
15961650,1,7.450454477723141e-05
15th,3,0.00022351363433169424
16461716,1,7.450454477723141e-05
16851753,1,7.450454477723141e-05
16th,2,0.00014900908955446283
171176,1,7.450454477723141e-05
17241804,1,7.450454477723141e-05
17701831,1,7.450454477723141e-05
1912,1,7.450454477723141e-05
1A,1,7.450454477723141e-05
1B,1,7.450454477723141e-05
1C,2,0.00014900908955446283
1D,1,7.450454477723141e-05
1E,2,0.00014900908955446283
1E1,5,0.00037252272388615704
1E2,1,7.450454477723141e-05
1E3,1,7.450454477723141e-05
1E4,1,7.450454477723141e-05
1E5,1,7.450454477723141e-05
1E6,1,7.450454477723141e-05
1E7,3,0.00022351363433169424
1E8,4,0.00029801817910892565
1E9,3,0.00022351363433169424
1F,1,7.450454477723141e-05
1F1,1,7.450454477723141e-05
1F2,1,7.450454477723141e-05
1F3,5,0.00037252272388615704
1F4,1,7.450454477723141e-05
1F5,1,7.450454477723141e-05
1F6,1,7.450454477723141e-05
2,10,0.0007450454477723141
20,1,7.450454477723141e-05
2001,1,7.450454477723141e-05
2004,1,7.450454477723141e-05
2019,1,7.450454477723141e-05
3,6,0.0004470272686633885
30,1,7.450454477723141e-05
4,3,0.00022351363433169424
5,4,0.00029801817910892565
50,1,7.450454477723141e-05
5000,1,7.450454477723141e-05
501c3,1,7.450454477723141e-05
5827,1,7.450454477723141e-05
5961887,1,7.450454477723141e-05
60,1,7.450454477723141e-05
646221541,1,7.450454477723141e-05
7,2,0.00014900908955446283
801,1,7.450454477723141e-05
809,1,7.450454477723141e-05
84116,1,7.450454477723141e-05
90,2,0.00014900908955446283
ACQUAINTANCE,1,7.450454477723141e-05
ACTUAL,1,7.450454477723141e-05
AGREE,2,0.00014900908955446283
AGREEMENT,1,7.450454477723141e-05
APPEARANCE,1,7.450454477723141e-05
ASCII”,2,0.00014900908955446283
Absolute,4,0.00029801817910892565
Acquaintance,1,7.450454477723141e-05
Additional,1,7.450454477723141e-05
Archive,13,0.0009685590821040083
Assuming,3,0.00022351363433169424
Atheists,1,7.450454477723141e-05
Author,1,7.450454477723141e-05
Awareness,1,7.450454477723141e-05
BIBLIOGRAPHICAL,1,7.450454477723141e-05
BREACH,2,0.00014900908955446283
Balfour,2,0.00014900908955446283
